level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-8-4-v0,0,85.0,0.0,19,397
SuperMarioBros-8-4-v0,1,86.0,0.0,19,397
SuperMarioBros-8-4-v0,2,86.0,0.0,20,397
SuperMarioBros-8-4-v0,3,115.0,0.0,28,395
SuperMarioBros-8-4-v0,4,86.0,0.0,20,397
SuperMarioBros-8-4-v0,5,117.0,0.0,19,397
SuperMarioBros-8-4-v0,6,105.0,377.84334350585937,25,396
SuperMarioBros-8-4-v0,7,112.0,1573.8021952311199,18,397
SuperMarioBros-8-4-v0,8,116.0,2511.7295500102796,19,397
SuperMarioBros-8-4-v0,9,77.0,2013.061240456321,22,396
SuperMarioBros-8-4-v0,10,94.0,1039.2191689231179,22,396
SuperMarioBros-8-4-v0,11,737.0,551.3286253448225,117,377
SuperMarioBros-8-4-v0,12,84.0,3088.4665083451705,22,396
SuperMarioBros-8-4-v0,13,105.0,4172.17580078125,25,396
SuperMarioBros-8-4-v0,14,119.0,3451.7030350534537,19,397
SuperMarioBros-8-4-v0,15,86.0,3479.507613332648,19,397
SuperMarioBros-8-4-v0,16,116.0,3701.905841064453,20,396
SuperMarioBros-8-4-v0,17,103.0,6144.021421079283,27,395
SuperMarioBros-8-4-v0,18,113.0,9577.607139185855,19,397
SuperMarioBros-8-4-v0,19,87.0,8582.213443153783,19,397
SuperMarioBros-8-4-v0,20,106.0,9511.846381293402,18,397
SuperMarioBros-8-4-v0,21,82.0,5751.685713918586,19,397
SuperMarioBros-8-4-v0,22,115.0,6824.790004185268,21,396
SuperMarioBros-8-4-v0,23,107.0,9987.448676215277,18,397
SuperMarioBros-8-4-v0,24,79.0,10238.103434244791,18,397
SuperMarioBros-8-4-v0,25,112.0,8757.271414620536,21,396
SuperMarioBros-8-4-v0,26,119.0,13764.946875,20,397
SuperMarioBros-8-4-v0,27,1101.0,70963.43338216146,180,365
SuperMarioBros-8-4-v0,28,113.0,256088.16294642858,21,396
SuperMarioBros-8-4-v0,29,95.0,326748.044921875,20,396
SuperMarioBros-8-4-v0,30,106.0,339916.8025568182,22,396
SuperMarioBros-8-4-v0,31,116.0,232079.96710526315,19,397
SuperMarioBros-8-4-v0,32,120.0,274244.125,19,397
SuperMarioBros-8-4-v0,33,104.0,249724.70192307694,26,395
SuperMarioBros-8-4-v0,34,114.0,289445.5101902174,23,396
SuperMarioBros-8-4-v0,35,80.0,386347.03400735295,17,397
SuperMarioBros-8-4-v0,36,85.0,163333.4208984375,20,396
SuperMarioBros-8-4-v0,37,114.0,220916.5721875,25,396
SuperMarioBros-8-4-v0,38,83.0,260551.963671875,20,397
SuperMarioBros-8-4-v0,39,86.0,254020.91666666666,18,397
SuperMarioBros-8-4-v0,40,96.0,240005.1722861842,19,397
SuperMarioBros-8-4-v0,41,108.0,193928.3713235294,34,394
SuperMarioBros-8-4-v0,42,86.0,220710.689453125,20,397
SuperMarioBros-8-4-v0,43,116.0,187386.8849283854,24,396
SuperMarioBros-8-4-v0,44,116.0,191601.79876512097,31,394
SuperMarioBros-8-4-v0,45,86.0,172994.21196546053,19,397
SuperMarioBros-8-4-v0,46,120.0,172724.20182291666,27,395
SuperMarioBros-8-4-v0,47,110.0,258327.5137867647,17,397
SuperMarioBros-8-4-v0,48,114.0,183516.52903053976,22,396
SuperMarioBros-8-4-v0,49,87.0,185978.7244140625,20,397
SuperMarioBros-8-4-v0,50,105.0,157696.9284986413,23,396
SuperMarioBros-8-4-v0,51,110.0,165842.17657696758,27,395
