level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-4-2-v0,0,138.0,0.0,31,394
SuperMarioBros-4-2-v0,1,147.0,0.0,24,396
SuperMarioBros-4-2-v0,2,138.0,0.0,26,395
SuperMarioBros-4-2-v0,3,277.0,0.0,36,393
SuperMarioBros-4-2-v0,4,148.0,204.21454416910808,30,395
SuperMarioBros-4-2-v0,5,148.0,1240.847501627604,30,395
SuperMarioBros-4-2-v0,6,554.0,102157.21771124528,211,358
SuperMarioBros-4-2-v0,7,211.0,463385.19510135136,37,393
SuperMarioBros-4-2-v0,8,210.0,691498.4444304436,31,394
SuperMarioBros-4-2-v0,9,204.0,1007422.6071777344,32,394
SuperMarioBros-4-2-v0,10,142.0,948953.129849138,29,395
SuperMarioBros-4-2-v0,11,200.0,710009.5396959459,37,393
SuperMarioBros-4-2-v0,12,201.0,891360.5435267857,28,395
SuperMarioBros-4-2-v0,13,141.0,789062.748046875,24,396
SuperMarioBros-4-2-v0,14,256.0,736283.4852195946,37,393
SuperMarioBros-4-2-v0,15,199.0,749743.3866185897,39,393
SuperMarioBros-4-2-v0,16,1117.0,587784.388249269,342,338
SuperMarioBros-4-2-v0,17,203.0,414221.27957589284,28,395
SuperMarioBros-4-2-v0,18,142.0,397061.569375,25,396
SuperMarioBros-4-2-v0,19,139.0,393361.9638671875,24,396
SuperMarioBros-4-2-v0,20,159.0,368533.65767045453,22,396
SuperMarioBros-4-2-v0,21,210.0,315434.08861607144,35,394
SuperMarioBros-4-2-v0,22,280.0,341966.0545099432,44,392
SuperMarioBros-4-2-v0,23,139.0,394484.47706653224,31,394
SuperMarioBros-4-2-v0,24,227.0,361551.2912597656,32,394
SuperMarioBros-4-2-v0,25,200.0,271069.8738162879,33,394
SuperMarioBros-4-2-v0,26,222.0,397763.8615301724,29,395
SuperMarioBros-4-2-v0,27,136.0,247054.9405048077,26,395
SuperMarioBros-4-2-v0,28,835.0,297247.8425011989,391,322
SuperMarioBros-4-2-v0,29,139.0,223166.0419560185,27,395
SuperMarioBros-4-2-v0,30,140.0,151111.9875252016,31,394
SuperMarioBros-4-2-v0,31,138.0,186594.42826704544,22,396
SuperMarioBros-4-2-v0,32,141.0,183065.98668323865,22,396
SuperMarioBros-4-2-v0,33,141.0,183430.92780172414,29,395
SuperMarioBros-4-2-v0,34,139.0,206632.0609375,25,396
SuperMarioBros-4-2-v0,35,250.0,201424.1830357143,35,394
SuperMarioBros-4-2-v0,36,148.0,181989.68561422414,29,395
SuperMarioBros-4-2-v0,37,138.0,184246.1978125,25,396
SuperMarioBros-4-2-v0,38,141.0,183959.599609375,22,396
SuperMarioBros-4-2-v0,39,137.0,140746.8924153646,24,396
SuperMarioBros-4-2-v0,40,141.0,125454.30825407608,23,396
SuperMarioBros-4-2-v0,41,263.0,142602.19483612804,41,392
SuperMarioBros-4-2-v0,42,138.0,115628.35579427083,24,396
SuperMarioBros-4-2-v0,43,140.0,134692.38932291666,24,396
SuperMarioBros-4-2-v0,44,137.0,102386.99875,25,396
SuperMarioBros-4-2-v0,45,137.0,134870.30407714844,32,394
SuperMarioBros-4-2-v0,46,140.0,103811.22618689903,26,395
SuperMarioBros-4-2-v0,47,149.0,104618.11617476853,27,395
SuperMarioBros-4-2-v0,48,212.0,94951.49609375,34,394
SuperMarioBros-4-2-v0,49,148.0,92083.05887276786,28,395
SuperMarioBros-4-2-v0,50,199.0,128717.01705025337,37,393
SuperMarioBros-4-2-v0,51,205.0,133853.77280405405,37,393
SuperMarioBros-4-2-v0,52,139.0,78088.19099934895,24,396
SuperMarioBros-4-2-v0,53,270.0,109747.9698585304,37,393
SuperMarioBros-4-2-v0,54,208.0,105149.90968276515,33,394
SuperMarioBros-4-2-v0,55,137.0,95061.98015372983,31,394
SuperMarioBros-4-2-v0,56,142.0,129286.48,25,396
SuperMarioBros-4-2-v0,57,141.0,90931.46423760775,29,395
SuperMarioBros-4-2-v0,58,276.0,105013.64817356419,37,393
SuperMarioBros-4-2-v0,59,275.0,121525.08344184028,36,393
SuperMarioBros-4-2-v0,60,140.0,89264.00325520833,30,395
SuperMarioBros-4-2-v0,61,200.0,96182.21840533089,34,394
SuperMarioBros-4-2-v0,62,141.0,90843.88686342593,27,395
SuperMarioBros-4-2-v0,63,138.0,98452.13213900862,29,395
SuperMarioBros-4-2-v0,64,201.0,90087.59109157986,36,393
SuperMarioBros-4-2-v0,65,209.0,95839.76298253676,34,394
SuperMarioBros-4-2-v0,66,140.0,93966.31980846774,31,394
SuperMarioBros-4-2-v0,67,203.0,76856.75725446429,28,395
SuperMarioBros-4-2-v0,68,139.0,99904.73828125,24,396
SuperMarioBros-4-2-v0,69,266.0,73143.52455357143,42,392
SuperMarioBros-4-2-v0,70,138.0,79346.64911684782,23,396
SuperMarioBros-4-2-v0,71,270.0,68842.68883634868,38,393
SuperMarioBros-4-2-v0,72,272.0,74010.0015625,40,393
SuperMarioBros-4-2-v0,73,203.0,77476.39125279018,28,395
SuperMarioBros-4-2-v0,74,141.0,81789.38264973958,24,396
SuperMarioBros-4-2-v0,75,201.0,101926.6272898707,29,395
SuperMarioBros-4-2-v0,76,140.0,67277.05672554347,23,396
SuperMarioBros-4-2-v0,77,138.0,88073.71349676725,29,395
SuperMarioBros-4-2-v0,78,136.0,64347.807678222656,32,394
SuperMarioBros-4-2-v0,79,141.0,60400.54012784091,22,396
SuperMarioBros-4-2-v0,80,137.0,89563.08440896739,23,396
SuperMarioBros-4-2-v0,81,142.0,105698.45010653409,22,396
SuperMarioBros-4-2-v0,82,199.0,66270.02523226352,37,393
SuperMarioBros-4-2-v0,83,266.0,99614.95052083333,33,394
SuperMarioBros-4-2-v0,84,137.0,89766.04340277778,36,393
SuperMarioBros-4-2-v0,85,135.0,69427.41522216797,32,394
SuperMarioBros-4-2-v0,86,202.0,68492.71467141544,34,394
SuperMarioBros-4-2-v0,87,139.0,63785.26575520833,30,395
SuperMarioBros-4-2-v0,88,203.0,100039.61342592593,27,395
SuperMarioBros-4-2-v0,89,135.0,59651.53692626953,32,394
SuperMarioBros-4-2-v0,90,139.0,60378.48191964286,35,394
SuperMarioBros-4-2-v0,91,140.0,70377.04811789772,22,396
SuperMarioBros-4-2-v0,92,202.0,89741.65245225694,36,393
SuperMarioBros-4-2-v0,93,208.0,120128.71020507812,40,393
SuperMarioBros-4-2-v0,94,260.0,132548.2080342061,37,393
SuperMarioBros-4-2-v0,95,133.0,101107.65174278847,39,393
SuperMarioBros-4-2-v0,96,205.0,130178.20352909483,29,395
SuperMarioBros-4-2-v0,97,262.0,164113.3692555147,34,394
SuperMarioBros-4-2-v0,98,281.0,91591.869140625,36,393
SuperMarioBros-4-2-v0,99,143.0,117775.12625558036,28,395
SuperMarioBros-4-2-v0,100,139.0,104444.9228515625,24,396
SuperMarioBros-4-2-v0,101,200.0,138940.97902199073,27,395
SuperMarioBros-4-2-v0,102,142.0,140651.26692708334,30,395
SuperMarioBros-4-2-v0,103,220.0,133553.81575520834,36,393
SuperMarioBros-4-2-v0,104,210.0,73535.85041360294,34,394
SuperMarioBros-4-2-v0,105,137.0,135465.42444957385,22,396
SuperMarioBros-4-2-v0,106,135.0,145612.85865162036,27,395
SuperMarioBros-4-2-v0,107,147.0,259306.16671875,25,396
SuperMarioBros-4-2-v0,108,137.0,197052.15208333332,30,395
SuperMarioBros-4-2-v0,109,139.0,219160.63553503787,33,394
SuperMarioBros-4-2-v0,110,211.0,190106.8931587838,37,393
SuperMarioBros-4-2-v0,111,198.0,204661.47291666668,30,395
SuperMarioBros-4-2-v0,112,134.0,208521.50013020833,30,395
SuperMarioBros-4-2-v0,113,253.0,134333.2736235119,42,392
SuperMarioBros-4-2-v0,114,252.0,163948.0923549107,42,392
SuperMarioBros-4-2-v0,115,138.0,159696.7323369565,23,396
SuperMarioBros-4-2-v0,116,275.0,220077.95680803573,35,394
SuperMarioBros-4-2-v0,117,261.0,164324.43780838815,38,393
SuperMarioBros-4-2-v0,118,196.0,154016.2384815705,39,393
SuperMarioBros-4-2-v0,119,136.0,189489.70690104167,30,395
SuperMarioBros-4-2-v0,120,147.0,111108.02984375,25,396
SuperMarioBros-4-2-v0,121,200.0,179357.73897879463,28,395
SuperMarioBros-4-2-v0,122,141.0,233213.75338541667,30,395
SuperMarioBros-4-2-v0,123,200.0,187125.72291666668,45,392
SuperMarioBros-4-2-v0,124,262.0,232639.74138327205,34,394
SuperMarioBros-4-2-v0,125,141.0,323716.81668526784,28,395
SuperMarioBros-4-2-v0,126,137.0,189110.84859913794,29,395
SuperMarioBros-4-2-v0,127,141.0,121103.70771059782,23,396
SuperMarioBros-4-2-v0,128,137.0,159164.09231770833,30,395
SuperMarioBros-4-2-v0,129,140.0,247347.96604567306,26,395
SuperMarioBros-4-2-v0,130,149.0,119026.32477678571,28,395
SuperMarioBros-4-2-v0,131,868.0,192498.22675714132,291,342
SuperMarioBros-4-2-v0,132,148.0,164928.25747282608,23,396
SuperMarioBros-4-2-v0,133,149.0,132989.2310267857,28,395
SuperMarioBros-4-2-v0,134,554.0,318851.73326602223,236,353
SuperMarioBros-4-2-v0,135,138.0,367986.4480064655,29,395
SuperMarioBros-4-2-v0,136,273.0,376565.8980741279,43,392
SuperMarioBros-4-2-v0,137,210.0,216091.96946022726,33,394
SuperMarioBros-4-2-v0,138,160.0,228153.64992559524,21,396
SuperMarioBros-4-2-v0,139,136.0,354891.5930397727,33,394
SuperMarioBros-4-2-v0,140,280.0,277199.7584635417,48,391
SuperMarioBros-4-2-v0,141,140.0,190466.88411458334,24,396
SuperMarioBros-4-2-v0,142,202.0,312069.93986742425,33,394
SuperMarioBros-4-2-v0,143,138.0,215103.5917119565,23,396
SuperMarioBros-4-2-v0,144,135.0,263920.5215625,25,396
SuperMarioBros-4-2-v0,145,197.0,433205.0576171875,32,394
SuperMarioBros-4-2-v0,146,148.0,318279.42630208336,30,395
SuperMarioBros-4-2-v0,147,510.0,283769.0190508991,431,314
SuperMarioBros-4-2-v0,148,139.0,166220.3778286638,29,395
SuperMarioBros-4-2-v0,149,148.0,232126.1962890625,24,396
SuperMarioBros-4-2-v0,150,140.0,649004.2591711957,23,396
SuperMarioBros-4-2-v0,151,134.0,215792.23350694444,27,395
SuperMarioBros-4-2-v0,152,141.0,233515.8,25,396
SuperMarioBros-4-2-v0,153,160.0,256609.07880434784,23,396
SuperMarioBros-4-2-v0,154,149.0,189857.02707435345,29,395
SuperMarioBros-4-2-v0,155,137.0,218063.78855846773,31,394
SuperMarioBros-4-2-v0,156,161.0,212351.1283482143,21,396
SuperMarioBros-4-2-v0,157,262.0,298985.26266891893,37,393
SuperMarioBros-4-2-v0,158,138.0,155651.77083333334,24,396
SuperMarioBros-4-2-v0,159,282.0,757570.0181725543,46,391
SuperMarioBros-4-2-v0,160,140.0,412333.51953125,22,396
SuperMarioBros-4-2-v0,161,136.0,250069.9667492378,41,392
SuperMarioBros-4-2-v0,162,201.0,254261.19088541667,30,395
SuperMarioBros-4-2-v0,163,270.0,234006.5655517578,64,388
SuperMarioBros-4-2-v0,164,148.0,256408.66434151787,28,395
SuperMarioBros-4-2-v0,165,265.0,279343.302734375,36,393
SuperMarioBros-4-2-v0,166,138.0,202825.6165625,25,396
SuperMarioBros-4-2-v0,167,161.0,388292.1302083333,21,396
SuperMarioBros-4-2-v0,168,139.0,999086.76953125,28,395
SuperMarioBros-4-2-v0,169,150.0,289735.9480064655,29,395
SuperMarioBros-4-2-v0,170,148.0,376717.6922433036,28,395
SuperMarioBros-4-2-v0,171,204.0,183541.65602678573,35,394
SuperMarioBros-4-2-v0,172,210.0,654978.8356770833,30,395
SuperMarioBros-4-2-v0,173,248.0,213645.52870639536,43,392
SuperMarioBros-4-2-v0,174,141.0,322213.00203804346,23,396
SuperMarioBros-4-2-v0,175,140.0,252457.3740234375,24,396
SuperMarioBros-4-2-v0,176,136.0,283119.1348958333,30,395
SuperMarioBros-4-2-v0,177,139.0,679048.3736979166,30,395
SuperMarioBros-4-2-v0,178,203.0,284090.34223090275,36,393
SuperMarioBros-4-2-v0,179,141.0,664920.9959239131,23,396
SuperMarioBros-4-2-v0,180,137.0,489655.1355064655,29,395
SuperMarioBros-4-2-v0,181,140.0,249824.51526988635,22,396
SuperMarioBros-4-2-v0,182,141.0,527723.9815625,25,396
SuperMarioBros-4-2-v0,183,139.0,256006.25364583332,30,395
SuperMarioBros-4-2-v0,184,200.0,246720.54561491936,31,394
SuperMarioBros-4-2-v0,185,141.0,222959.9140625,24,396
SuperMarioBros-4-2-v0,186,209.0,274708.4763183594,32,394
SuperMarioBros-4-2-v0,187,139.0,978450.8208512932,29,395
SuperMarioBros-4-2-v0,188,140.0,654957.0619419643,28,395
SuperMarioBros-4-2-v0,189,139.0,266252.66985887097,31,394
SuperMarioBros-4-2-v0,190,147.0,294682.9256465517,29,395
SuperMarioBros-4-2-v0,191,148.0,812526.4321732954,22,396
SuperMarioBros-4-2-v0,192,139.0,291409.609375,26,395
SuperMarioBros-4-2-v0,193,135.0,697412.4331896552,29,395
SuperMarioBros-4-2-v0,194,150.0,580864.4512392242,29,395
SuperMarioBros-4-2-v0,195,137.0,493787.1743421053,38,393
SuperMarioBros-4-2-v0,196,140.0,388258.4358723958,24,396
SuperMarioBros-4-2-v0,197,201.0,355947.45225694444,36,393
SuperMarioBros-4-2-v0,198,138.0,386232.6214717742,31,394
SuperMarioBros-4-2-v0,199,147.0,783365.1125,25,396
SuperMarioBros-4-2-v0,200,146.0,319413.54285714286,35,394
SuperMarioBros-4-2-v0,201,148.0,389465.67613636365,22,396
SuperMarioBros-4-2-v0,202,147.0,278139.4482142857,35,394
SuperMarioBros-4-2-v0,203,140.0,876432.8811961206,29,395
