level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-4-2-v0,0,192.0,17.849601552870713,304,385
SuperMarioBros-4-2-v0,1,115.0,7889.836132426594,688,366
SuperMarioBros-4-2-v0,2,86.0,26297.164154324943,1009,350
SuperMarioBros-4-2-v0,3,144.0,27392.907315854674,216,390
SuperMarioBros-4-2-v0,4,148.0,83482.84887549991,336,384
SuperMarioBros-4-2-v0,5,207.0,124071.7837890625,175,392
SuperMarioBros-4-2-v0,6,124.0,94127.66803784641,424,379
SuperMarioBros-4-2-v0,7,82.0,25030.73300426225,1004,350
SuperMarioBros-4-2-v0,8,131.0,19232.95353723745,122,394
SuperMarioBros-4-2-v0,9,131.0,16447.62878821507,242,388
SuperMarioBros-4-2-v0,10,130.0,16431.738738529264,252,388
SuperMarioBros-4-2-v0,11,72.0,19910.89346013593,692,366
SuperMarioBros-4-2-v0,12,130.0,45755.92578340102,908,355
SuperMarioBros-4-2-v0,13,205.0,37802.8089998453,202,390
SuperMarioBros-4-2-v0,14,159.0,31375.029745296557,147,393
SuperMarioBros-4-2-v0,15,158.0,36934.76624628323,134,394
SuperMarioBros-4-2-v0,16,197.0,26811.66052888569,114,395
SuperMarioBros-4-2-v0,17,135.0,35905.92352619263,207,390
SuperMarioBros-4-2-v0,18,180.0,27489.726005115182,643,368
SuperMarioBros-4-2-v0,19,142.0,29504.80875602311,167,392
SuperMarioBros-4-2-v0,20,132.0,33394.94300556693,187,391
SuperMarioBros-4-2-v0,21,138.0,26097.91684598701,172,392
SuperMarioBros-4-2-v0,22,143.0,21794.358589172363,128,394
SuperMarioBros-4-2-v0,23,203.0,15381.716088867188,175,392
SuperMarioBros-4-2-v0,24,139.0,16630.053627285255,197,391
SuperMarioBros-4-2-v0,25,132.0,13524.35707246273,109,395
SuperMarioBros-4-2-v0,26,145.0,14989.01052107901,106,395
SuperMarioBros-4-2-v0,27,249.0,11453.39979922387,248,388
SuperMarioBros-4-2-v0,28,145.0,7672.133586496547,138,394
SuperMarioBros-4-2-v0,29,159.0,6390.585517296424,208,390
SuperMarioBros-4-2-v0,30,136.0,6713.462360276442,325,384
SuperMarioBros-4-2-v0,31,131.0,5539.403881431284,181,391
SuperMarioBros-4-2-v0,32,139.0,5485.535897314021,113,395
SuperMarioBros-4-2-v0,33,93.0,4668.904495864428,659,368
SuperMarioBros-4-2-v0,34,-21.0,6725.656284991242,2715,265
SuperMarioBros-4-2-v0,35,49.0,7412.699623731579,1627,319
SuperMarioBros-4-2-v0,36,115.0,9275.162700419523,294,386
SuperMarioBros-4-2-v0,37,106.0,9259.305561986463,348,383
