level,episode,total_reward,avg_loss,steps,in_game_time_left
SuperMarioBros-8-1-v0,0,-36.0,241.2152580022812,380,281
SuperMarioBros-8-1-v0,1,117.0,561.9362669290381,2350,183
SuperMarioBros-8-1-v0,2,-60.0,1366.3591011808248,418,280
SuperMarioBros-8-1-v0,3,312.0,123.47015646359195,2024,199
SuperMarioBros-8-1-v0,4,119.0,145.6633956959763,6019,0
SuperMarioBros-8-1-v0,5,-54.0,108.58122593924111,408,280
SuperMarioBros-8-1-v0,6,11.0,61.32223907901395,310,285
SuperMarioBros-8-1-v0,7,640.0,1781.2070654188326,4533,74
SuperMarioBros-8-1-v0,8,142.0,277.83803385701674,116,295
SuperMarioBros-8-1-v0,9,347.0,303.13445545117787,872,257
SuperMarioBros-8-1-v0,10,151.0,412.8710833437303,102,295
SuperMarioBros-8-1-v0,11,138.0,107.90628894682854,124,294
SuperMarioBros-8-1-v0,12,271.0,275.3766210137344,164,292
SuperMarioBros-8-1-v0,13,373.0,293.0881154762732,296,286
SuperMarioBros-8-1-v0,14,153.0,260.8450015479443,102,295
SuperMarioBros-8-1-v0,15,147.0,519.5582746693066,112,295
SuperMarioBros-8-1-v0,16,702.0,362.39566646715895,3584,121
SuperMarioBros-8-1-v0,17,296.0,52.4326843521263,474,277
SuperMarioBros-8-1-v0,18,350.0,3764.0262158017067,3098,146
SuperMarioBros-8-1-v0,19,174.0,375.2095535547837,2070,197
SuperMarioBros-8-1-v0,20,752.0,543.5545095528122,1130,244
SuperMarioBros-8-1-v0,21,243.0,166.9904762367704,670,267
SuperMarioBros-8-1-v0,22,254.0,78.27258674505399,394,281
SuperMarioBros-8-1-v0,23,210.0,182.83216263229298,2130,194
SuperMarioBros-8-1-v0,24,95.0,452.21527212409563,186,291
SuperMarioBros-8-1-v0,25,139.0,6897.403066177942,6019,0
SuperMarioBros-8-1-v0,26,268.0,164.31007703713007,336,284
SuperMarioBros-8-1-v0,27,238.0,1139.7327437205392,244,288
SuperMarioBros-8-1-v0,28,209.0,364.70677217765837,1108,245
SuperMarioBros-8-1-v0,29,98.0,707.913583257924,184,291
SuperMarioBros-8-1-v0,30,136.0,286.24864705403644,390,281
SuperMarioBros-8-1-v0,31,259.0,1022.1318377833212,186,291
SuperMarioBros-8-1-v0,32,26.0,5828.791725635529,292,286
SuperMarioBros-8-1-v0,33,332.0,301.94789365706197,1042,248
SuperMarioBros-8-1-v0,34,311.0,212.48260868726857,1370,232
SuperMarioBros-8-1-v0,35,252.0,124.97922689181108,312,285
SuperMarioBros-8-1-v0,36,136.0,762.7106076823341,900,255
SuperMarioBros-8-1-v0,37,179.0,12147.309636528558,1572,222
SuperMarioBros-8-1-v0,38,122.0,23656.54066932643,432,279
SuperMarioBros-8-1-v0,39,88.0,1013.4433235621343,438,279
SuperMarioBros-8-1-v0,40,257.0,194.95084453961863,322,284
SuperMarioBros-8-1-v0,41,144.0,90.30574055954263,324,284
SuperMarioBros-8-1-v0,42,148.0,116.51725295737937,108,295
SuperMarioBros-8-1-v0,43,275.0,152.7149000105105,152,293
SuperMarioBros-8-1-v0,44,411.0,78.15078295279886,214,290
SuperMarioBros-8-1-v0,45,417.0,109.67483093458064,204,290
SuperMarioBros-8-1-v0,46,416.0,72.9424449160414,212,290
SuperMarioBros-8-1-v0,47,272.0,70.86740217357874,128,294
SuperMarioBros-8-1-v0,48,145.0,63.987062841653824,112,295
SuperMarioBros-8-1-v0,49,716.0,6837.867537166924,5970,2
SuperMarioBros-8-1-v0,50,166.0,667.6237706893529,78,297
